elapsed_s,beacon_letter,rssi,accuracy_m,proximity,pos_x,pos_y,nearest_letter,distance_to_nearest,confidence,motion_state,accel_magnitude,filtered_pos_x,filtered_pos_y
59.31,C,-81,7.01,Far,15.57,23.65,P,7.18,weak,trotting,0.5870,15.57,23.65
60.31,A,-86,21.39,Far,14.58,25.95,X,6.12,weak,trotting,0.4401,14.58,25.95
60.31,B,-84,32.13,Far,14.58,25.95,X,6.12,weak,trotting,0.4401,14.58,25.95
60.31,C,-75,7.12,Far,14.58,25.95,X,6.12,weak,trotting,0.4401,14.58,25.95
61.30,A,-87,22.18,Far,14.97,28.41,X,5.22,weak,trotting,0.9831,14.97,28.41
61.30,B,-88,32.61,Far,14.97,28.41,X,5.22,weak,trotting,0.9831,14.97,28.41
61.30,C,-73,6.91,Far,14.97,28.41,X,5.22,weak,trotting,0.9831,14.97,28.41
62.31,A,-86,22.78,Far,15.41,25.93,B,6.13,weak,trotting,0.7547,15.41,25.93
62.31,B,-89,33.30,Far,15.41,25.93,B,6.13,weak,trotting,0.7547,15.41,25.93
62.31,C,-70,6.24,Far,15.41,25.93,B,6.13,weak,trotting,0.7547,15.41,25.93
63.31,A,-81,22.08,Far,13.98,27.98,X,4.46,weak,trotting,0.3388,13.98,27.98
63.31,B,0,-1.00,Unknown,13.98,27.98,X,4.46,weak,trotting,0.3388,13.98,27.98
63.31,C,-76,6.54,Far,13.98,27.98,X,4.46,weak,trotting,0.3388,13.98,27.98
64.31,A,-81,21.47,Far,14.45,30.45,X,4.47,weak,trotting,0.6942,14.45,30.45
64.31,B,-89,35.00,Far,14.45,30.45,X,4.47,weak,trotting,0.6942,14.45,30.45
64.31,C,-75,6.70,Far,14.45,30.45,X,4.47,weak,trotting,0.6942,14.45,30.45
65.31,A,-86,22.09,Far,14.89,28.00,X,5.29,weak,trotting,0.6588,14.89,28.00
65.31,B,-88,35.36,Far,14.89,28.00,X,5.29,weak,trotting,0.6588,14.89,28.00
65.31,C,-74,6.71,Far,14.89,28.00,X,5.29,weak,trotting,0.6588,14.89,28.00
66.30,A,-83,22.04,Far,15.34,25.55,B,6.45,weak,trotting,0.1824,15.34,25.55
66.30,B,-90,36.18,Far,15.34,25.55,B,6.45,weak,trotting,0.1824,15.34,25.55
66.30,C,-74,6.73,Far,15.34,25.55,B,6.45,weak,trotting,0.1824,15.34,25.55
67.31,A,-82,21.74,Far,15.79,23.08,P,6.60,weak,trotting,0.9350,15.79,23.08
67.31,B,-89,36.74,Far,15.79,23.08,P,6.60,weak,trotting,0.9350,15.79,23.08
67.31,C,-75,6.86,Far,15.79,23.08,P,6.60,weak,trotting,0.9350,15.79,23.08
68.31,A,-82,21.47,Far,16.07,25.57,B,5.92,weak,trotting,0.9159,16.07,25.57
68.31,B,-87,36.68,Far,16.07,25.57,B,5.92,weak,trotting,0.9159,16.07,25.57
68.31,C,-78,7.30,Far,16.07,25.57,B,5.92,weak,trotting,0.9159,16.07,25.57
69.31,A,-80,20.64,Far,16.36,28.05,B,4.13,weak,trotting,0.5538,16.36,28.05
69.31,B,-89,37.22,Far,16.36,28.05,B,4.13,weak,trotting,0.5538,16.36,28.05
69.31,C,-84,8.14,Far,16.36,28.05,B,4.13,weak,trotting,0.5538,16.36,28.05
70.31,A,-83,20.72,Far,15.21,30.28,B,4.79,weak,trotting,0.2468,15.21,30.28
70.31,B,-88,37.45,Far,15.21,30.28,B,4.79,weak,trotting,0.2468,15.21,30.28
70.31,C,-80,8.70,Far,15.21,30.28,B,4.79,weak,trotting,0.2468,15.21,30.28
71.30,A,-86,21.36,Far,15.61,32.73,B,5.17,weak,trotting,0.7719,15.61,32.73
71.30,B,-88,37.66,Far,15.61,32.73,B,5.17,weak,trotting,0.7719,15.61,32.73
71.30,C,-80,9.24,Far,15.61,32.73,B,5.17,weak,trotting,0.7719,15.61,32.73
72.31,A,-81,20.85,Far,16.01,35.21,B,6.56,weak,trotting,0.0880,16.01,35.21
72.31,B,-84,36.34,Far,16.01,35.21,B,6.56,weak,trotting,0.0880,16.01,35.21
72.31,C,-83,10.03,Far,16.01,35.21,B,6.56,weak,trotting,0.0880,16.01,35.21
73.31,A,-78,19.44,Far,13.76,34.12,X,5.58,weak,trotting,0.0255,13.76,34.12
73.31,B,0,-1.00,Unknown,13.76,34.12,X,5.58,weak,trotting,0.0255,13.76,34.12
73.31,C,-77,10.03,Far,13.76,34.12,X,5.58,weak,trotting,0.0255,13.76,34.12
74.31,A,-79,18.62,Far,13.75,34.14,X,5.58,weak,stationary,0.0092,13.75,34.14
74.31,B,-91,39.32,Far,13.75,34.14,X,5.58,weak,stationary,0.0092,13.75,34.14
74.31,C,-79,10.33,Far,13.75,34.14,X,5.58,weak,stationary,0.0092,13.75,34.14
75.31,A,-79,17.92,Far,13.75,34.15,X,5.60,weak,stationary,0.0231,13.75,34.15
75.31,B,-87,39.07,Far,13.75,34.15,X,5.60,weak,stationary,0.0231,13.75,34.15
75.31,C,-80,10.74,Far,13.75,34.15,X,5.60,weak,stationary,0.0231,13.75,34.15
76.31,A,-78,17.04,Far,13.75,34.14,X,5.59,weak,stationary,0.0133,13.75,34.14
76.31,B,-88,39.18,Far,13.75,34.14,X,5.59,weak,stationary,0.0133,13.75,34.14
76.31,C,-80,11.12,Far,13.75,34.14,X,5.59,weak,stationary,0.0133,13.75,34.14
76.31,E,-56,0.68,Near,13.75,34.14,X,5.59,weak,stationary,0.0133,13.75,34.14
77.31,A,-79,16.56,Far,14.20,31.69,X,4.53,weak,trotting,0.9891,14.20,31.69
77.31,B,-86,38.57,Far,14.20,31.69,X,4.53,weak,trotting,0.9891,14.20,31.69
77.31,C,-85,12.03,Far,14.20,31.69,X,4.53,weak,trotting,0.9891,14.20,31.69
77.31,E,-62,1.37,Near,14.20,31.69,X,4.53,weak,trotting,0.9891,14.20,31.69
78.31,A,-79,16.14,Far,14.65,29.22,X,4.72,weak,trotting,0.0861,14.65,29.22
78.31,B,-88,38.71,Far,14.65,29.22,X,4.72,weak,trotting,0.0861,14.65,29.22
78.31,C,-85,12.93,Far,14.65,29.22,X,4.72,weak,trotting,0.0861,14.65,29.22
78.31,E,-63,1.51,Near,14.65,29.22,X,4.72,weak,trotting,0.0861,14.65,29.22
79.32,A,-76,14.98,Far,15.11,26.75,B,5.88,weak,trotting,0.0221,15.11,26.75
79.32,B,-82,36.22,Far,15.11,26.75,B,5.88,weak,trotting,0.0221,15.11,26.75
79.32,C,-78,12.72,Far,15.11,26.75,B,5.88,weak,trotting,0.0221,15.11,26.75
79.32,E,-68,1.89,Near,15.11,26.75,B,5.88,weak,trotting,0.0221,15.11,26.75
80.32,A,-76,14.04,Far,15.11,26.73,B,5.88,weak,stationary,0.0143,15.11,26.73
80.32,B,-81,33.61,Far,15.11,26.73,B,5.88,weak,stationary,0.0143,15.11,26.73
80.32,C,-79,12.74,Far,15.11,26.73,B,5.88,weak,stationary,0.0143,15.11,26.73
80.32,E,-71,2.34,Far,15.11,26.73,B,5.88,weak,stationary,0.0143,15.11,26.73
81.31,A,-81,14.26,Far,15.11,26.72,B,5.89,weak,stationary,0.0032,15.11,26.72
81.31,B,-81,31.48,Far,15.11,26.72,B,5.89,weak,stationary,0.0032,15.11,26.72
81.31,C,-78,12.56,Far,15.11,26.72,B,5.89,weak,stationary,0.0032,15.11,26.72
81.31,E,-74,2.88,Far,15.11,26.72,B,5.89,weak,stationary,0.0032,15.11,26.72
82.31,A,-79,14.12,Far,15.11,26.70,B,5.89,weak,stationary,0.1511,15.11,26.70
82.31,B,-88,31.97,Far,15.11,26.70,B,5.89,weak,stationary,0.1511,15.11,26.70
82.31,C,-78,12.41,Far,15.11,26.70,B,5.89,weak,stationary,0.1511,15.11,26.70
82.31,E,-72,3.26,Far,15.11,26.70,B,5.89,weak,stationary,0.1511,15.11,26.70
83.31,A,-78,13.78,Far,15.12,26.69,B,5.90,weak,stationary,0.1930,15.12,26.69
83.31,B,-88,32.45,Far,15.12,26.69,B,5.90,weak,stationary,0.1930,15.12,26.69
83.31,C,-78,12.28,Far,15.12,26.69,B,5.90,weak,stationary,0.1930,15.12,26.69
83.31,E,-71,3.51,Far,15.12,26.69,B,5.90,weak,stationary,0.1930,15.12,26.69
84.31,A,-80,13.87,Far,15.12,26.67,B,5.91,weak,stationary,0.0768,15.12,26.67
84.31,B,-79,29.41,Far,15.12,26.67,B,5.91,weak,stationary,0.0768,15.12,26.67
84.31,C,-82,12.80,Far,15.12,26.67,B,5.91,weak,stationary,0.0768,15.12,26.67
84.31,E,-76,4.05,Far,15.12,26.67,B,5.91,weak,stationary,0.0768,15.12,26.67
85.31,A,-82,14.26,Far,15.23,26.08,B,6.17,weak,walking,0.0782,15.23,26.08
85.31,B,-83,28.69,Far,15.23,26.08,B,6.17,weak,walking,0.0782,15.23,26.08
